n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
59000,626179,813140,587878,627309,635821,664835,738756,694781,681920,684830,772588,705596,731241,680901,586366,582970,645104,747664,709050,696040,682383,655016,604655,619442,696318,838568,603937,648141,613109,693901,661645,648750,622114,629561,777807,771703,665864,637421,747788,651838,610553,866652,591004,603398,711850,739797,642256,627147,607204,750383
60000,632998,670821,668956,647505,685917,612410,678424,800709,744540,667448,878906,682515,634763,589633,738343,654425,661178,756049,672868,619078,790595,712834,606315,616459,596667,624440,791576,631302,664268,740548,650077,665396,730527,605077,757159,633036,599595,678791,972692,625806,692764,987902,617345,764705,945566,760825,739822,703037,701626,742791
61000,748622,665983,616499,1005628,663744,804026,617171,710511,701919,692344,699913,819432,669542,794765,698556,613903,751318,740850,745113,781796,678177,734149,796316,717393,705282,668141,646604,662284,652591,776254,823747,742131,701523,691335,722777,648210,658425,703102,718581,676617,671634,617541,747055,735186,805686,633179,638224,622482,648253,893654
62000,771907,717695,670037,640842,817449,685756,672471,625466,677699,724511,686109,735750,733558,764230,662892,709151,576236,680867,700648,924814,832027,676116,768200,667624,644573,674068,785800,703218,699523,752561,673770,710498,750646,712470,673874,680545,849936,628022,717016,686558,989568,693323,679485,939688,668107,584919,645607,822978,716272,719721
63000,715041,734519,667005,674578,690066,790331,668677,755427,884119,697267,788678,670541,726859,684019,689109,661717,642266,723252,620403,751650,631644,671152,675022,650598,694632,640310,768362,630884,881442,644007,648721,642331,795443,626609,728319,942633,864842,905197,725077,787497,693281,676257,630517,779683,626154,701784,938894,741136,715645,681110
64000,654657,734800,874028,850104,794512,709005,881702,748075,948128,690272,719052,841615,658900,657031,754533,746080,643324,731467,717675,731487,699567,691842,735696,758022,713752,653162,616478,662584,656716,613699,702358,676471,778688,727995,771875,713871,794656,684534,774943,805086,966892,796488,658461,621797,781541,724333,647290,775311,675099,797769
65000,635025,755785,644100,752008,693960,764670,832356,749221,729766,710349,666698,952049,738143,767659,723136,847184,710181,709836,775790,691920,681500,661853,683976,740049,708203,721124,720197,840653,684622,730720,741827,690050,695572,770564,708371,670984,744423,623109,676162,834778,799700,818208,738522,747602,634195,926164,698371,782401,720295,713859
66000,681114,736717,668515,941527,871670,723525,687434,701398,738640,693880,745561,717077,740956,713990,816100,693020,824601,800525,994400,1249875,816256,673571,704040,681062,815668,871216,828826,857820,823254,721605,752067,875150,756014,804357,923928,647407,748122,732916,680028,763477,760214,988105,758700,713894,770080,825355,928502,669621,845879,755216
67000,858967,995417,957181,811910,718066,705864,820375,743558,962004,811819,1000182,809938,682121,989668,838964,756871,715536,912233,742173,866511,709135,624088,879731,925600,768563,780009,824636,794357,725854,689078,728683,734047,690422,940201,759473,814839,812544,682789,812106,674128,712122,697489,739591,917333,792216,862229,776022,876309,752346,786801
68000,835575,739994,688496,762478,752613,708214,766385,858636,682010,888351,814184,938431,776256,811840,798093,831646,736062,814636,892493,778959,892930,819904,896300,728987,663107,886430,762822,727056,1096492,772672,870184,888176,860316,628571,852659,724715,803389,768646,1013915,743103,667682,955285,799052,844007,684462,787852,808589,933903,794961,733122
